ItemNo,Manufacturer Part No,CostPrice,Wimood_Target_Margin,Median_Achieved_Margin_Pct,Competitor_Margin_Pct,CompetitorStatus,SMB01,SMB02,SMB03,SMB04,SMB05,SMB06,SMB07,SMB08,SMB09,SMB10,SMB11,SMB12,SMB13,SMB14,SMB15,SMB16,SMB17,SMB18,SMB19,SMB20,supplierName,LTM Turnover (DKK)
W129012200,UACC-SWITCH-FM,11.08,0.1282,0.0674,0.0271,Used,0.0271,0.0513,0.0513,0.0513,0.0513,0.0513,0.0551,0.0588,0.0625,0.0663,0.07,0.0738,0.0775,0.0813,0.085,0.0888,0.0925,0.0963,0.1,0.1038,ALLNET Deutschland,14864.447371
W128863989,UICARE-USW-48-POE-EU-D,518.85,-0.8292,0.0811,,No Main Competitor,0.025,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,38382.098597
W129012194,UA-G3-W,102.25,0.0357,0.0638,0.0206,Outlier - Excluded,0.0357,0.0638,0.0638,0.0638,0.0638,0.0638,0.0675,0.0713,0.075,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,ALLNET Deutschland,165845.931453
W128487404,USW-PRO-8-POE,221.55,0.0372,0.0526,0.0385,Used,0.0372,0.047,0.047,0.047,0.047,0.047,0.0508,0.0545,0.0583,0.062,0.0658,0.0695,0.0732,0.077,0.0807,0.0845,0.0882,0.092,0.0957,0.0995,Wortmann AG,4793274.051702
W128862771,UACC-AI-THETA-CMS,13.85,,0.047,0.0354,Used,0.0354,0.0424,0.0424,0.0424,0.0424,0.0424,0.0462,0.0499,0.0537,0.0574,0.0612,0.0649,0.0687,0.0724,0.0761,0.0799,0.0837,0.0874,0.0912,0.0949,ALLNET Deutschland,652.009552
W129234935,UP-SIREN-POE,79.16,0.0422,0.0638,,No Main Competitor,0.0422,0.0638,0.0638,0.0638,0.0638,0.0638,0.0675,0.0713,0.075,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,No comp data,92990.357282
W128854536,UACC-CAMERA-JB-W,36.93,,0.0755,,No Competitor Data,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,0.1093,0.113,0.1168,0.1205,0.1243,0.128,No comp data,144569.937292
W128377760,UVC-AI-DSLR-LD,1246.24,0.0857,0.087,,No Main Competitor,0.0857,0.087,0.087,0.087,0.087,0.087,0.0907,0.0945,0.0982,0.102,0.1057,0.1095,0.1132,0.117,0.1207,0.1245,0.1283,0.13,0.13,0.13,No comp data,10056.39624
W126806916,UACC-CM-RJ45-1G,12.92,0.0263,0.0576,0.0279,Used,0.0263,0.0457,0.0457,0.0457,0.0457,0.0457,0.0495,0.0532,0.057,0.0607,0.0645,0.0682,0.072,0.0757,0.0795,0.0832,0.0869,0.0907,0.0945,0.0982,ALLNET Deutschland,484280.482492
W127043320,UVC-G4 DOORBELL PRO,231.86,0.0101,0.0639,,No Main Competitor,0.025,0.0639,0.0639,0.0639,0.0639,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,No comp data,565484.858384
W128807444,UISP-S-PLUS,299.1,,0.0507,,No Competitor Data,0.0482,0.0507,0.0507,0.0507,0.0507,0.0507,0.0545,0.0582,0.062,0.0657,0.0694,0.0732,0.077,0.0807,0.0844,0.0882,0.092,0.0957,0.0994,0.1032,No comp data,138682.748432
W129048467,AFI-CABLE-USB-7M,46.16,,0.0583,,No Competitor Data,0.0558,0.0583,0.0583,0.0583,0.0583,0.0583,0.0621,0.0658,0.0696,0.0733,0.0771,0.0808,0.0846,0.0883,0.0921,0.0958,0.0995,0.1033,0.1071,0.1108,No comp data,1668.683063
W129016383,UTP-G3-TOUCH-PRO,152.32,0.0228,0.0538,,No Main Competitor,0.025,0.0538,0.0538,0.0538,0.0538,0.0538,0.0575,0.0613,0.065,0.0688,0.0725,0.0763,0.08,0.0838,0.0875,0.0913,0.095,0.0988,0.1025,0.1063,No comp data,472918.587879
W129112670,UICARE-UA-G3-INTERCOM-D,335.95,,,,No Competitor Data,0.075,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,855.351117
W129147765,UACC-RACK-SHELF-CLV,38.77,0.0395,0.0525,,No Main Competitor,0.0395,0.0525,0.0525,0.0525,0.0525,0.0525,0.0563,0.06,0.0638,0.0675,0.0712,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,No comp data,10366.573612
UAP-AC-PRO-5,UAP-AC-PRO-5,480.03,-0.0015,0.0753,0.0277,Outlier - Excluded,0.025,0.0753,0.0753,0.0753,0.0753,0.0753,0.0791,0.0828,0.0866,0.0903,0.0941,0.0978,0.1016,0.1053,0.1091,0.1128,0.1166,0.1203,0.1241,0.1278,ALLNET Deutschland,2889775.140148
W128862565,UACC-INTERCOM-SAM,36.0,0.0417,0.0627,0.0358,Used,0.0358,0.052,0.052,0.052,0.052,0.052,0.0558,0.0595,0.0632,0.067,0.0707,0.0745,0.0782,0.082,0.0857,0.0895,0.0932,0.097,0.1007,0.1045,ALLNET Deutschland,9712.65843
W129123925,UA-G3-SK-GATE,491.93,0.0514,0.1173,0.0556,Used,0.0514,0.0926,0.0926,0.0926,0.0926,0.0926,0.0963,0.1001,0.1038,0.1076,0.1114,0.1151,0.1188,0.1226,0.1263,0.13,0.13,0.13,0.13,0.13,ALLNET Deutschland,208296.104691
W128986555,UACC-OFC-S2-LULU-10M,10.15,,0.0809,,No Competitor Data,0.0784,0.0809,0.0809,0.0809,0.0809,0.0809,0.0847,0.0884,0.0921,0.0959,0.0997,0.1034,0.1071,0.1109,0.1147,0.1184,0.1221,0.1259,0.1296,0.13,No comp data,1359.836161
W129251513,UACC-G6-DOME-WS-B,21.91,0.0634,0.0668,,No Main Competitor,0.0634,0.0668,0.0668,0.0668,0.0668,0.0668,0.0706,0.0743,0.078,0.0818,0.0856,0.0893,0.093,0.0968,0.1006,0.1043,0.108,0.1118,0.1155,0.1193,No comp data,6115.97305
UF-LOCO,UF-LOCO,33.23,,,,No Competitor Data,0.075,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,1333.682
POE-24-12W-G,POE-24-12W-G,8.31,0.0878,0.0541,,No Main Competitor,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0578,0.0616,0.0654,0.0691,0.0728,0.0766,0.0804,0.0841,0.0878,0.0916,0.0954,0.0991,0.1028,0.1066,No comp data,246299.301286
W128779880,UACC-G4 DOORBELL PRO POE-GANG BOX,29.54,0.0697,0.064,,No Main Competitor,0.0615,0.064,0.064,0.064,0.064,0.064,0.0678,0.0715,0.0752,0.079,0.0828,0.0865,0.0902,0.094,0.0978,0.1015,0.1053,0.109,0.1128,0.1165,No comp data,22006.525713
W129242834,UACC-FM-16CM,22.16,0.0875,0.0808,,No Main Competitor,0.0783,0.0808,0.0808,0.0808,0.0808,0.0808,0.0846,0.0883,0.0921,0.0958,0.0995,0.1033,0.1071,0.1108,0.1145,0.1183,0.1221,0.1258,0.1295,0.13,No comp data,10740.660477
W128986537,UVC-AI-THETA-LENS-360,43.39,,0.0511,0.0357,Used,0.0357,0.0449,0.0449,0.0449,0.0449,0.0449,0.0486,0.0524,0.0562,0.0599,0.0636,0.0674,0.0712,0.0749,0.0786,0.0824,0.0862,0.0899,0.0936,0.0974,ALLNET Deutschland,3405.991507
W128891449,UA-ULTRA,73.85,0.0427,0.0538,0.0276,Used,0.0276,0.0433,0.0433,0.0433,0.0433,0.0433,0.0471,0.0508,0.0546,0.0583,0.0621,0.0658,0.0696,0.0733,0.0771,0.0808,0.0846,0.0883,0.0921,0.0958,ALLNET Deutschland,314908.1416
W128955368,UACC-UPLINK-SFP28-30M,59.08,0.1561,0.0792,,No Main Competitor,0.0767,0.0792,0.0792,0.0792,0.0792,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,0.1055,0.1092,0.1129,0.1167,0.1205,0.1242,0.128,0.13,No comp data,17071.767262
W128891452,UACC-CABLE-PATCH-EL-1M-W,4.43,0.149,0.074,0.0609,Used,0.0609,0.0688,0.0688,0.0688,0.0688,0.0688,0.0726,0.0763,0.08,0.0838,0.0875,0.0913,0.095,0.0988,0.1025,0.1063,0.11,0.1138,0.1175,0.1213,ALLNET Deutschland,262708.719064
UF-SPLITTER-4,UF-SPLITTER-4,7.39,0.1353,0.0777,,No Main Competitor,0.0752,0.0777,0.0777,0.0777,0.0777,0.0777,0.0814,0.0852,0.089,0.0927,0.0964,0.1002,0.104,0.1077,0.1114,0.1152,0.119,0.1227,0.1265,0.13,No comp data,1645.108246
W126837552,U6-MESH,140.32,0.0398,0.0527,0.0277,Used,0.0277,0.0427,0.0427,0.0427,0.0427,0.0427,0.0464,0.0502,0.0539,0.0577,0.0614,0.0652,0.0689,0.0727,0.0764,0.0802,0.0839,0.0877,0.0914,0.0952,ALLNET Deutschland,3979986.966559
W128891455,UACC-CABLE-PATCH-EL-3M-W,6.65,0.1368,0.0625,0.0617,Used,0.0617,0.0622,0.0622,0.0622,0.0622,0.0622,0.0659,0.0697,0.0734,0.0772,0.0809,0.0847,0.0884,0.0922,0.0959,0.0997,0.1034,0.1072,0.1109,0.1147,ALLNET Deutschland,75246.971109
ER-6P,ER-6P,164.32,0.0163,0.0753,0.0277,Outlier - Excluded,0.025,0.0753,0.0753,0.0753,0.0753,0.0753,0.0791,0.0828,0.0866,0.0903,0.0941,0.0978,0.1016,0.1053,0.1091,0.1128,0.1166,0.1203,0.1241,0.1278,ALLNET Deutschland,305655.613999
W129147840,UICARE-USW-PRO-XG-48-POE-EU-D,2204.63,-0.8131,0.0884,,No Main Competitor,0.025,0.0884,0.0884,0.0884,0.0884,0.0884,0.0921,0.0959,0.0997,0.1034,0.1071,0.1109,0.1147,0.1184,0.1221,0.1259,0.1296,0.13,0.13,0.13,No comp data,165514.886767
ER-8-XG,ER-8-XG,1140.08,0.021,0.0667,,No Main Competitor,0.025,0.0667,0.0667,0.0667,0.0667,0.0667,0.0704,0.0742,0.078,0.0817,0.0854,0.0892,0.093,0.0967,0.1004,0.1042,0.108,0.1117,0.1154,0.1192,No comp data,147058.839609
W129242835,UACC-LOCK-STRIKE-SECURE-15MM,66.23,-0.0699,0.0768,,No Main Competitor,0.025,0.0768,0.0768,0.0768,0.0768,0.0768,0.0805,0.0843,0.0881,0.0918,0.0955,0.0993,0.1031,0.1068,0.1105,0.1143,0.1181,0.1218,0.1255,0.1293,No comp data,42724.195231
W125835464,USW-LITE-16-POE,152.32,0.0393,0.0752,0.044,Used,0.0393,0.0627,0.0627,0.0627,0.0627,0.0627,0.0664,0.0702,0.074,0.0777,0.0814,0.0852,0.089,0.0927,0.0964,0.1002,0.104,0.1077,0.1114,0.1152,Wortmann AG,5418919.402429
W129042583,UTP-G3-TOUCH-WALL,285.25,0.0489,0.0779,,No Main Competitor,0.0489,0.0779,0.0779,0.0779,0.0779,0.0779,0.0816,0.0854,0.0891,0.0929,0.0966,0.1004,0.1041,0.1079,0.1116,0.1154,0.1191,0.1229,0.1266,0.13,No comp data,64548.581342
W128920257,UICARE-EFG-EU-D,285.19,0.1592,0.0811,,No Main Competitor,0.0811,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,52886.008046
W128891458,UACC-CABLE-PATCH-EL-12M-W,16.99,0.1018,0.0791,0.3489,Outlier - Excluded,0.0791,0.0791,0.0791,0.0791,0.0791,0.0791,0.0829,0.0866,0.0903,0.0941,0.0979,0.1016,0.1053,0.1091,0.1129,0.1166,0.1203,0.1241,0.1278,0.13,Wortmann AG,24703.250286
W127146740,UACC-OM-MM-1G-D-2,12.92,0.0333,0.0534,0.0279,Used,0.0279,0.0432,0.0432,0.0432,0.0432,0.0432,0.047,0.0507,0.0545,0.0582,0.062,0.0657,0.0694,0.0732,0.077,0.0807,0.0844,0.0882,0.092,0.0957,ALLNET Deutschland,213297.612294
W128791899,UVC-AI-THETA-LENS-LD,43.39,,0.1334,0.0357,Outlier - Excluded,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,ALLNET Deutschland,5058.603651
W127159157,U6-ENTERPRISE,212.32,0.0211,0.0638,0.027,Used,0.025,0.0491,0.0491,0.0491,0.0491,0.0491,0.0529,0.0566,0.0604,0.0641,0.0679,0.0716,0.0754,0.0791,0.0829,0.0866,0.0903,0.0941,0.0979,0.1016,Wortmann AG,3855763.217544
W129034599,UDR7,207.71,0.0375,0.0527,0.0276,Used,0.0276,0.0426,0.0426,0.0426,0.0426,0.0426,0.0463,0.0501,0.0538,0.0576,0.0613,0.0651,0.0688,0.0726,0.0764,0.0801,0.0838,0.0876,0.0914,0.0951,ALLNET Deutschland,10993538.650714
W128912767,UVC-G5-DOME-ULTRA-B,64.39,0.0374,0.0699,0.0247,Outlier - Excluded,0.0374,0.0699,0.0699,0.0699,0.0699,0.0699,0.0737,0.0774,0.0811,0.0849,0.0887,0.0924,0.0961,0.0999,0.1037,0.1074,0.1111,0.1149,0.1187,0.1224,ALLNET Deutschland,315060.138131
W125940099,UVC-G4-IREXTENDER,53.54,-0.1931,0.077,0.0359,Used,0.025,0.0605,0.0605,0.0605,0.0605,0.0605,0.0643,0.068,0.0718,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,0.1093,0.113,ALLNET Deutschland,8993.084723
W128884726,UA-LOCK-MAGNETIC-540KG,148.42,0.0389,0.0705,,No Main Competitor,0.0389,0.0705,0.0705,0.0705,0.0705,0.0705,0.0742,0.078,0.0818,0.0855,0.0893,0.093,0.0968,0.1005,0.1043,0.108,0.1118,0.1155,0.1193,0.123,No comp data,272035.635272
W128986564,UACC-KEYSTONE-JACK-C6,21.23,0.1211,0.08,0.0617,Used,0.0617,0.0727,0.0727,0.0727,0.0727,0.0727,0.0764,0.0802,0.0839,0.0877,0.0914,0.0952,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,0.1215,0.1252,ALLNET Deutschland,107226.543521
W129042618,UACC-OFC-MA-MPMP-30M,143.09,,0.0762,,No Competitor Data,0.0762,0.0762,0.0762,0.0762,0.0762,0.0762,0.08,0.0837,0.0875,0.0912,0.095,0.0987,0.1025,0.1062,0.11,0.1137,0.1175,0.1212,0.125,0.1287,No comp data,69234.519926
W129012601,UACC-CABLE-PATCH-OUTDOOR-C6A-2M-W,7.39,,0.0814,0.0609,Used,0.0609,0.0732,0.0732,0.0732,0.0732,0.0732,0.077,0.0807,0.0844,0.0882,0.092,0.0957,0.0994,0.1032,0.107,0.1107,0.1144,0.1182,0.122,0.1257,ALLNET Deutschland,14448.704014
POE-WM,POE-WM,0.6,,0.075,,No Competitor Data,0.075,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,713.120863
AF-24-HD,AF-24HD,2215.53,,0.094,,No Competitor Data,0.094,0.094,0.094,0.094,0.094,0.094,0.0978,0.1015,0.1053,0.109,0.1128,0.1165,0.1203,0.124,0.1278,0.13,0.13,0.13,0.13,0.13,No comp data,73016.483224
W129042633,UACC-DAC-QSFP28-0.5M-10,213.25,,0.0792,,No Competitor Data,0.0767,0.0792,0.0792,0.0792,0.0792,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,0.1055,0.1092,0.1129,0.1167,0.1205,0.1242,0.128,0.13,No comp data,8996.68402
W129035265,UP-SUPERLINK,95.08,0.0297,0.0526,,No Main Competitor,0.0297,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,341673.238461
W126837550,UF-WIFI6,75.7,0.0172,0.0568,0.0276,Used,0.025,0.0451,0.0451,0.0451,0.0451,0.0451,0.0488,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,ALLNET Deutschland,97197.147803
W129042605,UICARE-UC-CAST-PRO-D,246.82,-0.7999,0.0809,,No Main Competitor,0.025,0.0809,0.0809,0.0809,0.0809,0.0809,0.0847,0.0884,0.0921,0.0959,0.0997,0.1034,0.1071,0.1109,0.1147,0.1184,0.1221,0.1259,0.1296,0.13,No comp data,22357.060182
W128986548,UACC-OM-SFP10-1310,72.93,,0.0836,0.0616,Used,0.0616,0.0748,0.0748,0.0748,0.0748,0.0748,0.0786,0.0823,0.0861,0.0898,0.0936,0.0973,0.1011,0.1048,0.1086,0.1123,0.1161,0.1198,0.1236,0.1273,ALLNET Deutschland,52681.805421
AF-2G24-S45,AF-2G24-S45,137.55,,,,No Competitor Data,0.075,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,3399.377045
W129050199,UACC-G5-PTZ-CM-B,13.85,0.0347,0.077,,No Main Competitor,0.0347,0.077,0.077,0.077,0.077,0.077,0.0807,0.0845,0.0882,0.092,0.0957,0.0995,0.1032,0.107,0.1107,0.1145,0.1182,0.122,0.1258,0.1295,No comp data,9812.948085
W128791903,UVC-AI-THETA-PROLENS360,97.85,,0.077,0.036,Used,0.036,0.0606,0.0606,0.0606,0.0606,0.0606,0.0643,0.0681,0.0718,0.0756,0.0793,0.0831,0.0868,0.0906,0.0943,0.0981,0.1018,0.1056,0.1093,0.1131,ALLNET Deutschland,42370.051328
W128377762,UACC-G4-DBP-CABLE-USB-7M,24.0,0.1333,0.0712,0.0617,Used,0.0617,0.0674,0.0674,0.0674,0.0674,0.0674,0.0712,0.0749,0.0786,0.0824,0.0862,0.0899,0.0936,0.0974,0.1012,0.1049,0.1086,0.1124,0.1162,0.1199,ALLNET Deutschland,26606.092697
W128920264,UICARE-UVC-G5-DOME-ULTRA-D,80.72,-0.7958,0.081,,No Main Competitor,0.025,0.081,0.081,0.081,0.081,0.081,0.0847,0.0885,0.0922,0.096,0.0997,0.1035,0.1072,0.111,0.1147,0.1185,0.1222,0.126,0.1298,0.13,No comp data,1489.319866
W128377767,UACC-CABLE-DOORLOCKRELAY-2P,119.08,0.0228,0.0936,0.0616,Used,0.025,0.0808,0.0808,0.0808,0.0808,0.0808,0.0846,0.0883,0.0921,0.0958,0.0995,0.1033,0.1071,0.1108,0.1145,0.1183,0.1221,0.1258,0.1295,0.13,ALLNET Deutschland,58139.303505
W128888585,UACC-READER-PRO-JB-W,22.16,0.0921,0.0676,,No Main Competitor,0.0676,0.0676,0.0676,0.0676,0.0676,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,0.1089,0.1126,0.1163,0.1201,No comp data,28175.880643
W129042584,UTP-G3-TOUCH-ENTERPRISE,214.17,0.0833,0.0527,,No Main Competitor,0.0527,0.0527,0.0527,0.0527,0.0527,0.0527,0.0564,0.0602,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,No comp data,80574.038145
PBE-5AC-500,PBE-5AC-500,223.5,-0.4644,0.0527,-0.4949,Outlier - Excluded,0.025,0.0527,0.0527,0.0527,0.0527,0.0527,0.0564,0.0602,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,ALLNET Deutschland,18871.770035
PC-60CM-W-UK,PC-60CM-W-UK,0.01,,0.0,,No Competitor Data,0.025,0.035,0.035,0.035,0.035,0.035,0.0387,0.0425,0.0462,0.05,0.0537,0.0575,0.0612,0.065,0.0688,0.0725,0.0762,0.08,0.0838,0.0875,No comp data,0.257729
EP-54V-150W-AC,EP-54V-150W-AC,53.54,0.1412,0.0526,,No Main Competitor,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,11477.755815
W129242836,UACC-PANICBAR,296.16,0.0518,0.1173,,No Main Competitor,0.0518,0.1173,0.1173,0.1173,0.1173,0.1173,0.1189,0.1205,0.1221,0.1236,0.1252,0.1268,0.1284,0.13,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,4661.982519
W129252727,UICARE-UVC-G6-PRO-360-B-D,461.3,,0.0811,,No Competitor Data,0.0811,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,7388.76192
W128779877,UACC-KEYSTONE-BLANK-INSERT,14.77,0.0291,0.0529,,No Main Competitor,0.0291,0.0529,0.0529,0.0529,0.0529,0.0529,0.0566,0.0604,0.0641,0.0679,0.0716,0.0754,0.0791,0.0829,0.0866,0.0904,0.0941,0.0979,0.1016,0.1054,No comp data,79197.244919
W128986563,UACC-RACK-SHELF-TL,38.77,0.0472,0.0528,,No Main Competitor,0.0472,0.0528,0.0528,0.0528,0.0528,0.0528,0.0566,0.0603,0.0641,0.0678,0.0716,0.0753,0.0791,0.0828,0.0866,0.0903,0.0941,0.0978,0.1016,0.1053,No comp data,48925.606633
PBE-5AC-ISO-GEN2,PBE-5AC-ISO-GEN2,95.18,0.0969,0.0811,,No Main Competitor,0.0811,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,95930.300876
W128888581,UACC-READER-JB-W,22.16,,0.0611,,No Competitor Data,0.0586,0.0611,0.0611,0.0611,0.0611,0.0611,0.0649,0.0686,0.0723,0.0761,0.0798,0.0836,0.0873,0.0911,0.0948,0.0986,0.1023,0.1061,0.1098,0.1136,No comp data,62871.917472
W129015521,UACC-OM-SFP10-1530,109.85,,0.0866,,No Competitor Data,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0903,0.0941,0.0979,0.1016,0.1053,0.1091,0.1129,0.1166,0.1203,0.1241,0.1278,0.13,0.13,0.13,No comp data,10744.383811
USW-24-POE,USW-24-POE,282.48,0.0362,0.0596,0.0277,Used,0.0277,0.0468,0.0468,0.0468,0.0468,0.0468,0.0505,0.0543,0.058,0.0618,0.0655,0.0693,0.0731,0.0768,0.0805,0.0843,0.0881,0.0918,0.0955,0.0993,ALLNET Deutschland,17351489.103918
UAP-NANOHD-5,UAP-NANOHD-5,597.7,0.0194,0.0386,0.1369,Outlier - Excluded,0.025,0.0386,0.0386,0.0386,0.0386,0.0386,0.0423,0.0461,0.0498,0.0536,0.0573,0.0611,0.0648,0.0686,0.0723,0.0761,0.0798,0.0836,0.0873,0.0911,Wortmann AG,111282.323794
W129042590,UICARE-UA-G3-PRO-B-D,322.0,-0.7953,0.0864,,No Main Competitor,0.025,0.0864,0.0864,0.0864,0.0864,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,0.1202,0.1239,0.1277,0.13,0.13,0.13,No comp data,3859.146055
W129112008,UACC-DOORCLOSER,95.08,0.0433,0.0769,0.0277,Outlier - Excluded,0.0433,0.0769,0.0769,0.0769,0.0769,0.0769,0.0807,0.0844,0.0882,0.0919,0.0957,0.0994,0.1032,0.1069,0.1107,0.1144,0.1182,0.1219,0.1257,0.1294,ALLNET Deutschland,33546.185783
W129042617,UACC-OFC-MA-MPMP-15M,109.85,,0.0792,,No Competitor Data,0.0792,0.0792,0.0792,0.0792,0.0792,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,0.1055,0.1092,0.1129,0.1167,0.1205,0.1242,0.128,0.13,No comp data,18991.763532
W128911665,UI-PROSUPPORT-3Y-BH-EU-D,2391.19,0.2232,0.1628,,No Main Competitor,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,20680.68735
W129238906,UNVR-INSTANT-KIT,491.93,0.0522,0.0908,0.0342,Outlier - Excluded,0.0522,0.0908,0.0908,0.0908,0.0908,0.0908,0.0945,0.0983,0.1021,0.1058,0.1095,0.1133,0.1171,0.1208,0.1245,0.1283,0.13,0.13,0.13,0.13,ALLNET Deutschland,614336.304762
W129265039,UVC-DOORBELL-LITE-B,75.47,,0.0498,,No Competitor Data,0.0473,0.0498,0.0498,0.0498,0.0498,0.0498,0.0536,0.0573,0.0611,0.0648,0.0685,0.0723,0.0761,0.0798,0.0835,0.0873,0.0911,0.0948,0.0985,0.1023,No comp data,16450.303077
W129042629,UACC-OFC-MA-MPMP-3M-10,415.41,,0.0792,,No Competitor Data,0.0792,0.0792,0.0792,0.0792,0.0792,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,0.1055,0.1092,0.1129,0.1167,0.1205,0.1242,0.128,0.13,No comp data,9545.92857
W125835463,USW-LITE-8-POE,83.08,0.0448,0.07,0.0277,Outlier - Excluded,0.0448,0.07,0.07,0.07,0.07,0.07,0.0737,0.0775,0.0813,0.085,0.0887,0.0925,0.0963,0.1,0.1037,0.1075,0.1113,0.115,0.1187,0.1225,ALLNET Deutschland,11772912.029002
W129131288,U7-PRO-XG-B,148.63,0.0301,0.0527,0.0632,Used,0.0301,0.0569,0.0569,0.0569,0.0569,0.0569,0.0607,0.0644,0.0682,0.0719,0.0757,0.0794,0.0832,0.0869,0.0907,0.0944,0.0982,0.1019,0.1057,0.1094,Wortmann AG,984492.05231
UAP-IW-HD,UAP-IW-HD,124.62,,0.0636,,No Competitor Data,0.0611,0.0636,0.0636,0.0636,0.0636,0.0636,0.0674,0.0711,0.0748,0.0786,0.0823,0.0861,0.0898,0.0936,0.0973,0.1011,0.1048,0.1086,0.1123,0.1161,No comp data,178528.790795
W128407315,UA-G2-SK-PRO,446.95,,0.0559,0.0188,Outlier - Excluded,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0597,0.0634,0.0672,0.0709,0.0746,0.0784,0.0822,0.0859,0.0896,0.0934,0.0972,0.1009,0.1046,0.1084,ALLNET Deutschland,98986.147007
W128864002,UICARE-USW-LITE-16-POE-EU-D,180.03,-0.8345,0.0882,,No Main Competitor,0.025,0.0882,0.0882,0.0882,0.0882,0.0882,0.092,0.0957,0.0994,0.1032,0.107,0.1107,0.1144,0.1182,0.122,0.1257,0.1295,0.13,0.13,0.13,No comp data,7861.081756
W126087956,USW-PRO-AGGREGATION,647.12,0.0252,0.0526,,No Main Competitor,0.0252,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,3224219.367131
